order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
1961864118,63230,7/17/2024 8:52,7/17/2024 8:47,-5,0.96,On Time,
1549769649,14983,5/28/2024 13:25,5/28/2024 13:27,2,0.98,On Time,Traffic
9185164487,39859,9/23/2024 13:25,9/23/2024 13:29,4,3.83,On Time,Traffic
9644738826,61497,11/24/2023 16:34,11/24/2023 16:33,-1,2.76,On Time,
5427684290,84315,11/20/2023 5:17,11/20/2023 5:18,1,2.63,On Time,Traffic
3265154092,554,3/18/2023 16:49,3/18/2023 16:48,-1,1.94,On Time,
4898355547,14630,4/16/2023 19:01,4/16/2023 19:02,1,2.2,On Time,Traffic
6568151549,67714,3/31/2024 6:37,3/31/2024 6:39,2,1.3,On Time,Traffic
6006693867,91362,7/14/2023 0:02,7/14/2023 0:05,3,3.38,On Time,Traffic
374186990,77203,8/9/2023 1:37,8/9/2023 1:44,7,1.47,Slightly Delayed,Traffic
4455336265,64046,8/30/2023 19:47,8/30/2023 19:45,-2,0.76,On Time,
3539286337,94899,4/25/2023 20:44,4/25/2023 20:39,-5,3.68,On Time,
9171116867,73907,10/22/2023 11:25,10/22/2023 11:37,12,2.23,Slightly Delayed,Traffic
5504941865,56077,1/28/2024 2:55,1/28/2024 3:06,11,4.45,Slightly Delayed,Traffic
5868326481,94140,3/15/2024 21:24,3/15/2024 21:21,-3,2.8,On Time,
2137046916,12377,2/3/2024 9:03,2/3/2024 9:01,-2,1.78,On Time,
8195544338,102,4/26/2023 4:20,4/26/2023 4:28,8,1.16,Slightly Delayed,Traffic
2889700050,45032,4/30/2024 16:33,4/30/2024 16:36,3,3.07,On Time,Traffic
65827885,1108,7/27/2023 0:25,7/27/2023 0:20,-5,1.65,On Time,
4656471694,62782,12/9/2023 8:27,12/9/2023 8:35,8,3.7,Slightly Delayed,Traffic
6625178717,74906,7/1/2023 4:40,7/1/2023 4:53,13,4.22,Slightly Delayed,Traffic
7169557514,79516,3/21/2023 5:38,3/21/2023 5:50,12,3.28,Slightly Delayed,Traffic
2268306684,65733,5/28/2024 15:11,5/28/2024 15:10,-1,1.82,On Time,
6905293278,53868,6/16/2024 10:36,6/16/2024 11:02,26,0.58,Significantly Delayed,Traffic
1769493463,22954,6/26/2024 7:29,6/26/2024 7:24,-5,1.21,On Time,
5003387344,21004,6/23/2024 11:05,6/23/2024 11:00,-5,4.52,On Time,
2064484752,43022,5/7/2024 23:00,5/7/2024 22:55,-5,2.29,On Time,
964822979,42914,7/13/2024 10:49,7/13/2024 10:47,-2,1.09,On Time,
6037899648,59131,3/27/2024 18:00,3/27/2024 18:04,4,4.56,On Time,Traffic
9347571484,88612,11/2/2024 17:26,11/2/2024 17:39,13,3.29,Slightly Delayed,Traffic
3286177534,90038,6/25/2023 0:09,6/25/2023 0:07,-2,3.07,On Time,
